lngDateSN,strYearT1,strYearT2,strMonthT1,strMonthT2,strDayT1,strDayT2,strHourT,strDayFive,strDayTwelve,strDayNine,strDayTwentyEight,strHourTwentyEight,strHourEight,strp1,strp2,strp3,strp4,strp5,strp6,strp7,strp8,strp9,strp10,strp11,strp12,strp13,strp14
20151118,乙,未,丙,戌,戊,戌,壬戌,木,閉,8白,參,角,離,七殺,文昌,左輔,廉貞,祿存,破軍,天同,武曲,太陽,貪狼,天機,紫微,天梁,2.8
20151119,乙,未,丙,戌,己,亥,甲戌,木,建,7赤,井,室,兌,巨門,文昌,天相,天同,武曲,太陽,*,天機,紫微,鈴星,天府,太陰,廉貞,3.6
20151120,乙,未,丙,戌,庚,子,丙戌,土,除,6白,鬼,星,乾,紫微,文昌,左輔,破軍,祿存,廉貞,太陰,貪狼,天同,武曲,太陽,七殺,天機,2.8
20151121,乙,未,丙,戌,辛,丑,戊戌,土,滿,5黃,柳,牛,坤,天同,太陰,武曲,太陽,天相,天機,紫微,天刑,火星,鈴星,廉貞,天魁,天府,3.6
20151122,乙,未,丙,戌,壬,寅,庚戌,金,平,4綠,星,參,艮,破軍,文昌,天機,紫微,太陰,貪狼,巨門,廉貞,天梁,七殺,天同,武曲,太陽,2.9
20151123,乙,未,丙,戌,癸,卯,壬戌,金,定,3碧,張,心,坎,太陽,文昌,天府,天機,紫微,巨門,天相,天梁,廉貞,鈴星,地劫,天同,武曲,3.7
20151124,乙,未,丙,戌,甲,辰,甲戌,火,執,2黑,翼,胃,巽,文昌,封誥,左輔,文曲,廉貞,羊刃,天府,天同,武曲,太陽,天相,天機,紫微,2.8
20151125,乙,未,丙,戌,乙,巳,丙戌,火,破,1白,軫,角,震,廉貞,天相,天梁,七殺,天同,武曲,太陽,破軍,天機,紫微,太陰,貪狼,巨門,3.7
20151126,乙,未,丙,戌,丙,午,戊戌,水,危,9紫,角,室,離,天機,文昌,紫微,文曲,天府,太陰,廉貞,巨門,天相,天同,武曲,太陽,天馬,3
20151127,乙,未,丙,戌,丁,未,庚戌,水,成,8白,亢,星,兌,貪狼,文昌,天同,武曲,太陽,七殺,天機,紫微,火星,破軍,地劫,廉貞,太陰,2.8
20151128,乙,未,丙,戌,戊,申,壬戌,土,收,7赤,氐,牛,乾,太陽,文昌,天府,天機,紫微,巨門,天相,天梁,廉貞,鈴星,地劫,天同,武曲,2.9
20151129,乙,未,丙,戌,己,酉,甲戌,土,開,6白,房,參,坤,武曲,天府,太陽,貪狼,天機,紫微,天梁,七殺,火星,廉貞,地劫,破軍,天同,3.8
20151130,乙,未,丙,戌,庚,戌,丙戌,金,閉,5黃,心,心,艮,紫微,文昌,左輔,破軍,祿存,廉貞,太陰,貪狼,天同,武曲,太陽,七殺,天機,2.5
20151201,乙,未,丙,戌,辛,亥,戊戌,金,建,4綠,尾,胃,坎,天梁,文昌,廉貞,文曲,祿存,天同,武曲,太陽,天府,天機,紫微,巨門,天相,3.5
20151202,乙,未,丙,戌,壬,子,庚戌,木,除,3碧,箕,角,巽,破軍,文昌,天機,紫微,太陰,貪狼,巨門,廉貞,天梁,七殺,天同,武曲,太陽,3
20151203,乙,未,丙,戌,癸,丑,壬戌,木,滿,2黑,斗,室,震,巨門,文昌,天相,天同,武曲,太陽,*,天機,紫微,鈴星,天府,太陰,廉貞,2.9
20151204,乙,未,丙,戌,甲,寅,甲戌,水,平,1白,牛,星,離,武曲,天府,太陽,貪狼,天機,紫微,天梁,七殺,火星,廉貞,地劫,破軍,天同,2.8
20151205,乙,未,丙,戌,乙,卯,丙戌,水,定,9紫,女,牛,兌,天同,太陰,武曲,太陽,天相,天機,紫微,天刑,火星,鈴星,廉貞,天魁,天府,2.9
20151206,乙,未,丙,戌,丙,辰,戊戌,土,執,8白,虛,參,乾,天機,文昌,紫微,文曲,天府,太陰,廉貞,巨門,天相,天同,武曲,太陽,天馬,3.5
20151207,乙,未,丁,亥,丁,巳,庚戌,土,執,7赤,危,心,坤,左輔,右弼,廉貞,祿存,破軍,天同,武曲,太陽,貪狼,天機,紫微,天梁,七殺,3.8
20151208,乙,未,丁,亥,戊,午,壬戌,火,破,6白,室,胃,艮,天府,右弼,天機,紫微,巨門,天相,天梁,廉貞,鈴星,地劫,天同,武曲,太陽,2.7
20151209,乙,未,丁,亥,己,未,甲戌,火,危,5黃,壁,角,坎,天梁,右弼,七殺,天同,武曲,太陽,破軍,天機,紫微,太陰,貪狼,巨門,廉貞,2.8
20151210,乙,未,丁,亥,庚,申,丙戌,木,成,4綠,奎,室,巽,武曲,貪狼,太陽,天相,天機,紫微,天刑,火星,鈴星,廉貞,天魁,天府,天同,3.6
20151211,乙,未,丁,亥,辛,酉,戊戌,木,收,3碧,婁,星,震,廉貞,七殺,左輔,祿存,天同,武曲,太陽,天府,天機,紫微,巨門,天相,天梁,2.6
20151212,乙,未,丁,亥,壬,戌,庚戌,水,開,2黑,胃,牛,離,天同,巨門,武曲,太陽,七殺,天機,紫微,火星,破軍,地劫,廉貞,太陰,貪狼,3.1
20151213,乙,未,丁,亥,癸,亥,壬戌,水,閉,1白,昂,參,兌,天空,恩光,左輔,廉貞,羊刃,天府,天同,武曲,太陽,天相,天機,紫微,右弼,2.9
20151214,乙,未,丁,亥,甲,子,甲戌,金,建,6白,畢,心,乾,太陽,太陰,貪狼,天機,紫微,天梁,七殺,火星,廉貞,地劫,破軍,天同,武曲,3.6
20151215,乙,未,丁,亥,乙,丑,丙戌,金,除,5黃,觜,胃,坤,紫微,破軍,左輔,天府,太陰,廉貞,巨門,天相,天同,武曲,太陽,天姚,天機,3.7
20151216,乙,未,丁,亥,丙,寅,戊戌,火,滿,4綠,參,角,艮,天機,天空,紫微,太陰,貪狼,巨門,廉貞,天梁,七殺,天同,武曲,太陽,破軍,3.6
20151217,乙,未,丁,亥,丁,卯,庚戌,火,平,3碧,井,室,坎,天空,*,廉貞,祿存,破軍,天同,武曲,太陽,貪狼,天機,紫微,天梁,七殺,2.9
20151218,乙,未,丁,亥,戊,辰,壬戌,木,定,2黑,鬼,星,巽,天相,天空,天同,武曲,太陽,八座,天機,紫微,鈴星,天府,太陰,廉貞,巨門,3.7
20151219,乙,未,丁,亥,己,巳,甲戌,木,執,1白,柳,牛,震,天空,*,破軍,祿存,廉貞,太陰,貪狼,天同,武曲,太陽,七殺,天機,紫微,2.9
20151220,乙,未,丁,亥,庚,午,丙戌,土,破,9紫,星,參,離,武曲,貪狼,太陽,天相,天機,紫微,解神,火星,鈴星,廉貞,天魁,天府,天同,3.7
20151221,乙,未,丁,亥,辛,未,戊戌,土,危,8白,張,心,兌,天機,天空,紫微,太陰,貪狼,巨門,廉貞,天梁,七殺,天同,武曲,太陽,破軍,3
20151222,丙,申,丁,亥,壬,申,庚戌,金,成,9紫,翼,胃,乾,紫微,破軍,左輔,天府,太陰,廉貞,巨門,天相,天同,武曲,太陽,天魁,天機,3.7
20151223,丙,申,丁,亥,癸,酉,壬戌,金,收,1白,軫,角,兌,天同,巨門,武曲,太陽,七殺,天機,紫微,天刑,破軍,天鉞,廉貞,太陰,貪狼,2.8
20151224,丙,申,丁,亥,甲,戌,甲戌,火,開,2黑,角,室,離,天府,天空,天機,紫微,巨門,天相,天梁,廉貞,鈴星,天鉞,天同,武曲,太陽,3.7
20151225,丙,申,丁,亥,乙,亥,丙戌,火,閉,3碧,亢,星,震,太陽,太陰,貪狼,天機,紫微,天梁,七殺,天刑,廉貞,天鉞,破軍,天同,武曲,3
20151226,丙,申,丁,亥,丙,子,戊戌,水,建,4綠,氐,牛,巽,廉貞,七殺,左輔,*,天同,武曲,太陽,天府,天機,紫微,巨門,天相,天梁,2.8
20151227,丙,申,丁,亥,丁,丑,庚戌,水,除,5黃,房,參,坎,天機,天空,紫微,太陰,貪狼,巨門,廉貞,天梁,七殺,天同,武曲,太陽,破軍,2.9
20151228,丙,申,丁,亥,戊,寅,壬戌,土,滿,6白,心,心,艮,天相,天空,天同,武曲,太陽,祿存,天機,紫微,鈴星,天府,太陰,廉貞,巨門,3.8
20151229,丙,申,丁,亥,己,卯,甲戌,土,平,7赤,尾,胃,坤,太陽,太陰,貪狼,天機,紫微,天梁,七殺,天刑,廉貞,天鉞,破軍,天同,武曲,2.5
20151230,丙,申,丁,亥,庚,辰,丙戌,金,定,8白,箕,角,乾,武曲,貪狼,太陽,天相,天機,紫微,羊刃,天刑,鈴星,廉貞,天月,天府,天同,3.5
20151231,丙,申,丁,亥,辛,巳,戊戌,金,執,9紫,斗,室,兌,天空,*,廉貞,*,破軍,天同,武曲,太陽,貪狼,天機,紫微,天梁,七殺,3
20160101,丙,申,丁,亥,壬,午,庚戌,木,破,1白,牛,星,離,天府,天空,天機,紫微,巨門,天相,天梁,廉貞,鈴星,天鉞,天同,武曲,太陽,2.9
20160102,丙,申,丁,亥,癸,未,壬戌,木,危,2黑,女,牛,震,天梁,天空,七殺,天同,武曲,太陽,破軍,天機,紫微,太陰,貪狼,巨門,廉貞,2.8
20160103,丙,申,丁,亥,甲,申,甲戌,水,成,3碧,虛,參,巽,武曲,貪狼,太陽,天相,天機,紫微,羊刃,天刑,鈴星,廉貞,天月,天府,天同,2.9
20160104,丙,申,丁,亥,乙,酉,丙戌,水,收,4綠,危,心,坎,天同,巨門,武曲,太陽,七殺,天機,紫微,天刑,破軍,天鉞,廉貞,太陰,貪狼,3.5
20160105,丙,申,丁,亥,丙,戌,戊戌,土,開,5黃,室,胃,艮,天空,*,左輔,廉貞,陀羅,天府,天同,武曲,太陽,天相,天機,紫微,右弼,3.8
20160106,丙,申,戊,子,丁,亥,庚戌,土,開,6白,壁,角,坤,廉貞,文曲,天貴,破軍,天同,武曲,太陽,貪狼,天機,紫微,天梁,七殺,天空,2.7
20160107,丙,申,戊,子,戊,子,壬戌,火,閉,7赤,奎,室,乾,左輔,文曲,天府,太陰,廉貞,巨門,天相,天同,武曲,太陽,天魁,天機,紫微,2.8
20160108,丙,申,戊,子,己,丑,甲戌,火,建,8白,婁,星,兌,廉貞,文曲,恩光,破軍,天同,武曲,太陽,貪狼,天機,紫微,天梁,七殺,天空,3.6
20160109,丙,申,戊,子,庚,寅,丙戌,木,除,9紫,胃,牛,離,左輔,文曲,廉貞,陀羅,天府,天同,武曲,太陽,天相,天機,紫微,右弼,天空,2.6
20160110,丙,申,戊,子,辛,卯,戊戌,木,滿,1白,昂,參,震,貪狼,文曲,天機,紫微,天梁,七殺,*,廉貞,天鉞,破軍,天同,武曲,太陽,2.1
20160111,丙,申,戊,子,壬,辰,庚戌,水,平,2黑,畢,心,巽,文曲,天馬,天府,太陰,廉貞,巨門,天相,天同,武曲,太陽,右弼,天機,紫微,2.6
20160112,丙,申,戊,子,癸,巳,壬戌,水,定,3碧,觜,胃,坎,紫微,天府,太陰,貪狼,巨門,廉貞,天梁,七殺,天同,武曲,太陽,破軍,天機,2.4
20160113,丙,申,戊,子,甲,午,甲戌,金,執,4綠,參,角,艮,太陽,巨門,天相,天機,紫微,羊刃,*,鈴星,廉貞,天福,天府,天同,武曲,3.1
20160114,丙,申,戊,子,乙,未,丙戌,金,破,5黃,井,室,坤,紫微,天府,太陰,貪狼,巨門,廉貞,天梁,七殺,天同,武曲,太陽,破軍,天機,3.2
20160115,丙,申,戊,子,丙,申,戊戌,火,危,6白,鬼,星,乾,天機,太陰,紫微,巨門,天相,天梁,廉貞,鈴星,天鉞,天同,武曲,太陽,天府,3.1
20160116,丙,申,戊,子,丁,酉,庚戌,火,成,7赤,柳,牛,兌,武曲,天相,太陽,七殺,天機,紫微,天貴,破軍,天鉞,廉貞,太陰,貪狼,天同,2.4
20160117,丙,申,戊,子,戊,戌,壬戌,木,收,8白,星,參,離,天機,太陰,紫微,巨門,天相,天梁,廉貞,鈴星,天鉞,天同,武曲,太陽,天府,3.2
20160118,丙,申,戊,子,己,亥,甲戌,木,開,9紫,張,心,震,貪狼,文曲,天機,紫微,天梁,七殺,恩光,廉貞,天鉞,破軍,天同,武曲,太陽,2.4
20160119,丙,申,戊,子,庚,子,丙戌,土,閉,1白,翼,胃,巽,七殺,文曲,天同,武曲,太陽,破軍,天機,紫微,太陰,貪狼,巨門,廉貞,天梁,3.2
20160120,丙,申,戊,子,辛,丑,戊戌,土,建,2黑,軫,角,坎,貪狼,文曲,天機,紫微,天梁,七殺,*,廉貞,天鉞,破軍,天同,武曲,太陽,2.5
20160121,丙,申,戊,子,壬,寅,庚戌,金,除,3碧,角,室,艮,太陽,巨門,天相,天機,紫微,羊刃,*,鈴星,廉貞,天福,天府,天同,武曲,3.3
